time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.UTM_easting,.UTM_northing,.RTK,.Zone,.Letter
2022/10/06/19:50:09.095854,0,85809,0,GPS1_Frame,42.338640166666664,-71.08878016666667,8.5,327928.80370816495,4689489.143523081,5,19,T
2022/10/06/19:50:10.094835,0,85810,0,GPS1_Frame,42.33864033333332,-71.08878016666667,8.5,327928.80416278244,4689489.162030146,5,19,T
2022/10/06/19:50:11.098423,0,85811,0,GPS1_Frame,42.33864033333332,-71.08878,8.5,327928.81789315573,4689489.161692866,5,19,T
2022/10/06/19:50:12.096973,0,85812,0,GPS1_Frame,42.338640500000004,-71.08877983333333,8.5,327928.8320781464,4689489.179862655,5,19,T
2022/10/06/19:50:13.090380,0,85813,0,GPS1_Frame,42.338640500000004,-71.0887795,8.5,327928.8595388951,4689489.179188095,5,19,T
2022/10/06/19:50:14.097633,0,85814,0,GPS1_Frame,42.338640500000004,-71.088779,8.6,327928.9007300148,4689489.178176255,5,19,T
2022/10/06/19:50:15.092428,0,85815,0,GPS1_Frame,42.33864066666667,-71.08877883333334,8.6,327928.91491500527,4689489.196346041,5,19,T
2022/10/06/19:50:16.097689,0,85816,0,GPS1_Frame,42.33864100000001,-71.08877916666667,8.5,327928.8883634934,4689489.234034736,5,19,T
2022/10/06/19:50:17.100115,0,85817,0,GPS1_Frame,42.338641333333335,-71.0887795,8.5,327928.86181198177,4689489.271723429,5,19,T
2022/10/06/19:50:18.096783,0,85818,0,GPS1_Frame,42.338641499999994,-71.08877933333333,8.4,327928.8759969721,4689489.2898932155,5,19,T
2022/10/06/19:50:19.096879,0,85819,0,GPS1_Frame,42.338641666666675,-71.088779,8.4,327928.9039123354,4689489.307725723,5,19,T
2022/10/06/19:50:20.097622,0,85820,0,GPS1_Frame,42.338641666666675,-71.08877866666667,8.4,327928.9313730814,4689489.307051163,5,19,T
2022/10/06/19:50:21.095050,0,85821,0,GPS1_Frame,42.338641333333335,-71.088778,8.5,327928.9853853394,4689489.2686879095,5,19,T
2022/10/06/19:50:22.093216,0,85822,0,GPS1_Frame,42.33864116666667,-71.08877733333334,8.6,327929.03985221696,4689489.248831724,5,19,T
2022/10/06/19:50:23.099351,0,85823,0,GPS1_Frame,42.338641333333335,-71.08877716666666,8.5,327929.054037209,4689489.26700151,5,19,T
2022/10/06/19:50:24.097142,0,85824,0,GPS1_Frame,42.338641333333335,-71.088777,8.6,327929.0677675821,4689489.26666423,5,19,T
2022/10/06/19:50:25.097667,0,85825,0,GPS1_Frame,42.338641499999994,-71.08877683333334,8.6,327929.08195257187,4689489.284834017,5,19,T
2022/10/06/19:50:26.098980,0,85826,0,GPS1_Frame,42.338641666666675,-71.08877616666668,8.6,327929.13732868066,4689489.301991967,5,19,T
2022/10/06/19:50:27.097367,0,85827,0,GPS1_Frame,42.338641666666675,-71.08877566666666,8.6,327929.17851980176,4689489.300980128,5,19,T
2022/10/06/19:50:28.097783,0,85828,0,GPS1_Frame,42.338641666666675,-71.088775,8.6,327929.2334412959,4689489.29963101,5,19,T
2022/10/06/19:50:29.100188,0,85829,0,GPS1_Frame,42.338641333333335,-71.08877433333333,8.7,327929.2874535554,4689489.261267759,5,19,T
2022/10/06/19:50:30.097863,0,85830,0,GPS1_Frame,42.33864116666667,-71.088774,8.7,327929.3144596854,4689489.242086133,5,19,T
2022/10/06/19:50:31.093199,0,85831,0,GPS1_Frame,42.33864100000001,-71.08877366666667,8.7,327929.34146581555,4689489.222904508,5,19,T
2022/10/06/19:50:32.100304,0,85832,0,GPS1_Frame,42.33864066666667,-71.088773,8.8,327929.3954780784,4689489.184541257,5,19,T
2022/10/06/19:50:33.097151,0,85833,0,GPS1_Frame,42.338640166666664,-71.08877233333332,8.9,327929.449035726,4689489.12767094,5,19,T
2022/10/06/19:50:34.098933,0,85834,0,GPS1_Frame,42.338640000000005,-71.08877183333334,9.0,327929.4897722304,4689489.108152037,5,19,T
2022/10/06/19:50:35.085286,0,85835,0,GPS1_Frame,42.33863983333334,-71.08877166666666,9.0,327929.50304798817,4689489.089307691,5,19,T
2022/10/06/19:50:36.081888,0,85836,0,GPS1_Frame,42.3386395,-71.088771,9.1,327929.5570602528,4689489.050944442,5,19,T
2022/10/06/19:50:37.083232,0,85837,0,GPS1_Frame,42.33863916666666,-71.08877033333333,9.1,327929.6110725182,4689489.012581193,5,19,T
